,Vehicle_ID,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Class,v_Vel,v_Acc,Preceding,Space_Headway,Time_Headway,Location,Relative_Time,Preceding_Vehicle_Class,Rear_to_Front_Space_Headway,v_Class_Name,Vehicle_combination
546,248,1118848928800,54.287,1410.012,6452101.095,1872410.047,5.0292,2,1.524,0.0,242,11.487912,7.54,us-101,1117685909701,Car,6.458711999999999,Car,Car-Car
1733,242,1118847045300,17.554,322.749,6451336.751,1873136.233,5.486400000000001,2,10.655808,0.0,234,32.775144000000004,3.08,us-101,1117684026201,Car,28.50794400000001,Car,Car-Car
5091,250,1118847075200,22.318,1488.301,6452207.045,1872359.778,4.8768,2,14.21892,0.0,242,11.021568,0.78,us-101,1117684056101,Car,5.992368,Car,Car-Car
7909,242,1118847082200,21.414,1888.096,6452508.888,1872097.33,5.486400000000001,2,18.970752,-0.7772399999999999,0,0.0,0.0,us-101,1117684063101,,,Car,
12411,242,1118847064500,20.251,1110.685,6451924.205,1872609.789,5.486400000000001,2,9.6012,-1.780032,234,31.10484,3.24,us-101,1117684045401,Car,26.83764,Car,Car-Car
13196,242,1118848902600,51.956,1059.984,6451838.928,1872642.03,4.572,2,6.272784,0.0,2000,15.980664,2.55,us-101,1117685883501,Car,10.951464,Car,Car-Car
13203,242,1118848931900,52.299,1476.059,6452151.954,1872368.302,4.572,2,3.3528,0.0,2000,17.593056,5.25,us-101,1117685912801,Car,12.563856,Car,Car-Car
15417,248,1118848913700,51.658,1167.899,6451920.493,1872571.371,5.0292,2,6.096,0.0,242,17.071848,2.8,us-101,1117685894601,Car,12.042648,Car,Car-Car
16872,250,1118847054900,22.082,689.529,6451605.948,1872885.767,4.8768,2,13.716,0.0,242,14.118336,1.03,us-101,1117684035801,Car,9.089136,Car,Car-Car
17960,242,1118848017900,55.866,2116.428,6452632.845,1871949.774,5.0292,2,13.716,0.0,0,0.0,0.0,us-101,1117684998801,,,Car,
19693,242,1118847068300,20.482,1240.271,6452021.572,1872524.366,5.486400000000001,2,10.305288,-2.7340560000000003,234,42.851832,4.16,us-101,1117684049201,Car,38.584632,Car,Car-Car
