,Vehicle_ID,Global_Time,Local_X,Local_Y,Global_X,Global_Y,v_length,v_Class,v_Vel,v_Acc,Preceding,Space_Headway,Time_Headway,Location,Relative_Time,Preceding_Vehicle_Class,Rear_to_Front_Space_Headway,v_Class_Name,Vehicle_combination
1381,556,1118848146300,19.81,1112.253,6451895.318,1872635.539,3.6576,2,8.628888,1.139952,546,34.978848000000006,4.05,us-101,1117685127201,Car,30.61004800000001,Car,Car-Car
1514,562,1118847140800,42.89,1208.27,6451982.726,1872528.61,4.8768,2,18.281904,-0.109728,546,53.75757600000001,2.94,us-101,1117684121701,Car,49.38877600000001,Car,Car-Car
2730,546,1118849026200,26.326,110.411,6451157.216,1873308.422,4.8768,2,9.247632,0.0,541,14.907768,1.61,us-101,1117686007101,Car,10.335767999999998,Car,Car-Car
2844,562,1118847132400,42.455,749.155,6451637.314,1872831.119,4.8768,2,15.24,0.0,546,52.367688,3.44,us-101,1117684113301,Car,47.998888,Car,Car-Car
3400,556,1118848149500,19.935,1213.016,6451971.132,1872569.29,3.6576,2,10.677144,-0.155448,546,40.895016,3.83,us-101,1117685130401,Car,36.526216,Car,Car-Car
9996,546,1118847115300,40.188,213.634,6451242.016,1873197.447,3.81,2,9.765792,0.859536,545,13.027152,1.33,us-101,1117684096201,Car,8.201152,Car,Car-Car
10186,546,1118847130200,41.12,807.087,6451681.68,1872793.91,3.81,2,16.590264,-0.012192,545,22.018752,1.33,us-101,1117684111101,Car,17.192752,Car,Car-Car
10629,546,1118848136200,18.265,990.058,6451804.161,1872716.932,4.4196,2,3.602736,0.0,540,15.108936000000002,4.19,us-101,1117685117101,Car,10.613136,Car,Car-Car
11193,556,1118848163000,18.189,1672.231,6452318.142,1872268.376,3.6576,2,8.284464,-0.371856,546,29.815536,3.6,us-101,1117685143901,Car,25.446736,Car,Car-Car
11423,546,1118848117100,16.655,865.368,6451711.356,1872800.389,4.4196,2,3.2948880000000003,0.7802880000000001,540,15.459456,4.69,us-101,1117685098001,Car,10.963656,Car,Car-Car
12100,546,1118847151900,43.904,2086.451,6452648.361,1871952.714,3.81,2,20.177760000000003,-0.2286,0,0.0,0.0,us-101,1117684132801,,,Car,
12463,546,1118848147900,18.956,1283.76,6452024.984,1872523.404,4.4196,2,11.710416,1.46304,530,45.680376,3.9,us-101,1117685128801,Car,41.489376,Car,Car-Car
14658,556,1118848119000,18.597,836.872,6451688.683,1872817.747,3.6576,2,3.3954720000000003,0.0,546,13.313664,3.92,us-101,1117685099901,Car,8.944864,Car,Car-Car
15144,556,1118848113000,19.911,757.652,6451628.307,1872869.025,3.6576,2,5.5839360000000005,-2.490216,546,19.330416000000003,3.46,us-101,1117685093901,Car,14.961616000000005,Car,Car-Car
15359,546,1118848113500,18.262,827.835,6451682.118,1872823.969,4.4196,2,4.120896,0.03048,540,16.526256,4.01,us-101,1117685094401,Car,12.030456,Car,Car-Car
16245,556,1118848154300,18.946,1388.621,6452103.992,1872454.373,3.6576,2,12.082272,1.383792,546,43.165776,3.57,us-101,1117685135201,Car,38.796976,Car,Car-Car
21466,546,1118847146800,40.16,1753.395,6452394.973,1872171.323,3.81,2,18.483072,-1.283208,545,27.560016,1.49,us-101,1117684127701,Car,22.734016,Car,Car-Car
22709,556,1118848159900,17.094,1584.962,6452252.871,1872326.431,3.6576,2,9.275064,-0.298704,546,35.557968,3.83,us-101,1117685140801,Car,31.189168,Car,Car-Car
23650,546,1118847120300,39.919,358.511,6451347.683,1873094.819,3.81,2,10.277856,3.41376,545,18.010632,1.75,us-101,1117684101201,Car,13.184632,Car,Car-Car
24192,562,1118847119100,39.44,258.413,6451275.267,1873165.219,4.8768,2,9.592056,-0.7985760000000001,546,19.8882,2.07,us-101,1117684100001,Car,15.5194,Car,Car-Car
